time,open,high,low,close,MA,Volume,Volume MA
1569981600,1.489,1.4898,1.488,1.4894,1.4897999999999951,550,534.95
1569996000,1.4891,1.4987,1.4891,1.4964,1.491477777777773,564,540.75
1570010400,1.4963,1.4975,1.4933,1.4937,1.4926444444444396,579,543.95
1570024800,1.4935,1.4942,1.4913,1.4924,1.4928333333333283,571,544.85
1570039200,1.4922,1.4925,1.4903,1.4912,1.4927222222222172,503,542.3
1570053600,1.4911,1.4914,1.4888,1.4904,1.4918222222222173,552,541.4
1570068000,1.4901,1.4903,1.4877,1.4888,1.4914666666666616,556,547.85
1570082400,1.4887,1.4916,1.4862,1.4891,1.4911666666666616,560,549.25
1570096800,1.4889,1.4895,1.4856,1.4862,1.4908444444444395,571,551.8
1570111200,1.486,1.486,1.4806,1.4811,1.4899222222222173,572,552.8
1570125600,1.481,1.4836,1.481,1.4826,1.4883888888888839,520,550.2
1570140000,1.4824,1.4835,1.4797,1.481,1.486977777777773,549,549.15
1570154400,1.4809,1.4815,1.4792,1.4804,1.4856444444444397,554,552.3
1570168800,1.4803,1.4813,1.4786,1.4803,1.4844333333333284,567,554.85
1570183200,1.4801,1.4824,1.4774,1.4779,1.4830444444444395,579,556.15
1570197600,1.4776,1.4791,1.476,1.4764,1.4816666666666618,567,555.8
1570212000,1.4764,1.4779,1.476,1.4772,1.4803444444444396,414,547.8
1570399200,1.4785,1.4806,1.4778,1.4799,1.4796444444444394,552,546.85
1570413600,1.4796,1.482,1.4796,1.4814,1.4796777777777725,546,549.1
1570428000,1.4812,1.485,1.48,1.4839,1.479822222222217,565,549.55
1570442400,1.4837,1.4852,1.4815,1.482,1.4799333333333282,561,550.1
1570456800,1.482,1.4848,1.481,1.4828,1.4801999999999949,562,550
1570471200,1.4825,1.4857,1.4825,1.485,1.4807222222222172,501,546.1
1570485600,1.4849,1.486,1.4831,1.4834,1.4813333333333283,555,545.3
1570500000,1.4832,1.4838,1.4806,1.4812,1.4818666666666618,529,546.6
1570514400,1.4811,1.4825,1.4797,1.4813,1.4823222222222172,557,546.85
1570528800,1.4811,1.4842,1.4811,1.4833,1.482699999999995,579,548
1570543200,1.4831,1.4871,1.483,1.4856,1.4831666666666616,561,548.05
1570557600,1.4854,1.4867,1.4849,1.4859,1.483388888888884,524,545.7
1570572000,1.4858,1.487,1.4837,1.4839,1.4835999999999951,539,544.05
1570586400,1.4836,1.4845,1.4825,1.4841,1.4837444444444394,512,543.65
1570600800,1.4837,1.4854,1.4815,1.4818,1.483388888888884,554,543.9
1570615200,1.4817,1.4837,1.4813,1.4837,1.4834222222222173,551,543.75
1570629600,1.4835,1.4866,1.4832,1.4852,1.4838666666666618,544,542.6
1570644000,1.4851,1.4874,1.4849,1.487,1.484499999999995,476,537.45
1570658400,1.4869,1.49,1.4797,1.4834,1.4845111111111062,574,537.8
1570672800,1.4834,1.4838,1.4812,1.4817,1.484077777777773,533,543.75
1570687200,1.4815,1.4827,1.4776,1.4776,1.483155555555551,571,544.7
1570701600,1.4775,1.4816,1.477,1.4792,1.4826333333333286,562,545.5
1570716000,1.4789,1.4803,1.4758,1.4771,1.4818555555555508,571,545.8
1570730400,1.4769,1.4792,1.4766,1.4786,1.4814999999999954,511,543.3
1570744800,1.4785,1.4805,1.4761,1.4764,1.480688888888884,542,542.3
1570759200,1.476,1.4767,1.4741,1.4756,1.4796222222222175,539,544.2
1570773600,1.4754,1.4766,1.4715,1.4722,1.477977777777773,568,544.85
1570788000,1.472,1.4725,1.4692,1.4703,1.4765222222222174,568,546.8
1570802400,1.47,1.4725,1.4678,1.4711,1.4753444444444395,574,547.65
1570816800,1.4709,1.4728,1.4695,1.4726,1.4747888888888838,423,539.85
1571004000,1.4713,1.4765,1.4706,1.474,1.474211111111106,547,539.15
1571018400,1.4738,1.4752,1.4721,1.4737,1.4738333333333284,557,540.8
1571032800,1.4735,1.4805,1.4734,1.4799,1.473977777777773,559,541.8
1571047200,1.4796,1.481,1.4793,1.4798,1.4743555555555505,548,543.6
1571061600,1.4797,1.4804,1.4748,1.4758,1.4743777777777727,538,542.8
1571076000,1.4755,1.4765,1.475,1.4753,1.4747222222222172,472,538.85
1571090400,1.4751,1.4777,1.4727,1.4738,1.475111111111106,537,538.5
1571104800,1.4736,1.4767,1.4731,1.4762,1.4756777777777728,522,540.8
1571119200,1.4759,1.4789,1.4753,1.4778,1.4762555555555505,570,540.6
1571133600,1.4778,1.4829,1.4774,1.4827,1.477222222222217,568,542.35
1571148000,1.4824,1.4828,1.4771,1.4797,1.4778888888888837,580,542.8
1571162400,1.4795,1.4816,1.4789,1.4804,1.4779444444444394,537,541.55
1571176800,1.4803,1.4863,1.4799,1.4843,1.4784444444444393,556,540.8
1571191200,1.4841,1.4856,1.4834,1.4839,1.4793444444444392,549,542.7
1571205600,1.4839,1.4854,1.4823,1.4838,1.4802888888888837,577,544.45
1571220000,1.4836,1.4871,1.4834,1.4853,1.4815666666666614,564,545.7
1571234400,1.4851,1.4858,1.4776,1.4794,1.481922222222217,568,545.7
1571248800,1.4792,1.4805,1.478,1.48,1.4821666666666615,520,543.3
1571263200,1.4799,1.4806,1.4724,1.4733,1.481122222222217,560,542.6
1571277600,1.473,1.4741,1.4726,1.474,1.4804888888888836,545,548.7
